order_id,customer_id,order_date,channel,branch_name,state
1,784,2025-11-13,Online,Miami Store,Florida
2,897,2024-06-23,In-Store,San Francisco Store,California
3,371,2025-12-21,Online,San Francisco Store,California
4,487,2024-05-05,Online,Miami Store,Florida
5,2038,2023-08-17,Online,Los Angeles Store,California
6,2213,2025-11-09,In-Store,Los Angeles Store,California
7,1361,2023-01-03,Online,San Francisco Store,California
8,192,2025-06-29,Online,Los Angeles Store,California
9,730,2023-11-03,Online,Miami Store,Florida
10,2262,2024-03-07,In-Store,Los Angeles Store,California
11,957,2023-05-16,Online,San Francisco Store,California
12,381,2024-05-29,Online,Miami Store,Florida
13,798,2023-07-12,Online,Los Angeles Store,California
14,239,2025-05-22,Online,Houston Store,Texas
15,1106,2024-10-27,In-Store,Miami Store,Florida
16,1387,2023-07-28,Online,Miami Store,Florida
17,2250,2025-08-09,In-Store,Houston Store,Texas
18,1528,2025-11-23,In-Store,Houston Store,Texas
19,1668,2024-10-10,In-Store,Miami Store,Florida
20,37,2023-04-30,Online,Houston Store,Texas
21,1997,2024-09-18,In-Store,San Francisco Store,California
22,1426,2024-06-08,Online,San Francisco Store,California
23,1491,2025-02-07,In-Store,San Francisco Store,California
24,1225,2024-05-26,In-Store,Miami Store,Florida
25,2023,2023-02-16,In-Store,Houston Store,Texas
26,2442,2025-02-10,In-Store,Houston Store,Texas
27,833,2025-01-09,In-Store,Los Angeles Store,California
28,597,2024-06-05,In-Store,Los Angeles Store,California
29,2441,2023-05-14,In-Store,Houston Store,Texas
30,700,2023-09-05,In-Store,Houston Store,Texas
31,1647,2024-03-11,Online,Houston Store,Texas
32,2019,2024-11-16,Online,Miami Store,Florida
33,441,2024-08-08,In-Store,Houston Store,Texas
34,1861,2023-12-17,In-Store,Los Angeles Store,California
35,1641,2023-05-23,In-Store,Miami Store,Florida
36,1530,2025-08-24,Online,Houston Store,Texas
37,2368,2025-03-14,In-Store,Los Angeles Store,California
38,1095,2024-12-18,Online,Miami Store,Florida
39,568,2024-10-04,Online,Houston Store,Texas
40,236,2024-05-15,Online,Houston Store,Texas
41,1305,2024-01-05,Online,Houston Store,Texas
