sale_id,order_id,product_id,quantity,price,total_amount
1,1238,18,1,1435.79,1435.79
2,1767,26,3,321.7,965.0999999999999
3,1842,7,2,1348.55,2697.1
4,506,45,3,580.66,1741.98
5,1145,98,2,825.27,1650.54
6,1842,45,3,580.66,1741.98
7,720,71,1,722.89,722.89
8,1395,97,1,1884.02,1884.02
9,257,35,3,626.49,1879.47
10,1721,52,2,995.42,1990.84
11,1822,21,2,443.35,886.7
12,954,28,2,1102.69,2205.38
13,2981,96,3,237.54,712.62
14,1072,44,3,1818.32,5454.96
15,1623,80,3,522.21,1566.63
16,897,56,3,378.17,1134.51
17,2067,10,2,1144.42,2288.84
18,1070,23,2,976.97,1953.94
19,451,48,4,737.51,2950.04
20,898,52,3,995.42,2986.2599999999998
21,1080,15,4,510.17,2040.68
22,741,55,3,526.04,1578.12
23,82,43,4,744.78,2979.12
24,737,50,2,371.08,742.16
25,79,6,2,1354.24,2708.48
26,1686,33,4,1766.91,7067.64
27,2331,62,1,531.41,531.41
28,1335,55,3,526.04,1578.12
29,997,39,4,862.19,3448.76
30,2208,12,4,1944.84,7779.36
31,1340,100,1,1683.53,1683.53
32,2003,31,2,1217.79,2435.58
33,1692,74,4,1085.32,4341.28
34,1180,53,2,1400.25,2800.5
35,2936,34,3,1267.49,3802.4700000000003
36,1738,41,1,682.47,682.47
37,2516,10,2,1144.42,2288.84
38,853,52,4,995.42,3981.68
39,462,75,1,923.18,923.18
40,2902,57,1,476.59,476.59
41,117,78,1,207.66,207.66
42,1690,3,1,926.43,926.43
43,2412,57,1,476.59,476.59
44,1655,33,3,1766.91,5300.7300000000005
45,1735,7,3,1348.55,4045.6499999999996
46,1937,4,1,236.05,236.05
47,466,39,4,862.19,3448.76
48,1799,48,4,737.51,2950.04
49,2232,74,3,1085.32,3255.96
50,660,79,2,770.83,1541.66
51,2123,16,1,549.33,549.33
52,2874,38,4,475.96,1903.84
53,1715,4,3,236.05,708.1500000000001
54,2551,4,3,236.05,708.1500000000001
55,795,100,2,1683.53,3367.06
56,1587,27,2,1228.61,2457.22
57,587,86,4,1606.77,6427.08
58,2704,86,2,1606.77,3213.54
59,2748,17,2,128.85,257.7
60,635,98,1,825.27,825.27
61,2892,96,3,237.54,712.62
62,1275,70,3,114.45,343.35
63,2883,54,2,575.35,1150.7
64,1154,97,3,1884.02,5652.0599999999995
65,2812,8,3,1203.03,3609.09
66,358,53,4,1400.25,5601.0
67,2740,100,3,1683.53,5050.59
68,1432,5,2,773.1,1546.2
69,1885,69,4,851.52,3406.08
70,1519,47,3,51.01,153.03
71,622,74,3,1085.32,3255.96
72,482,40,4,1772.4,7089.6
73,980,7,4,1348.55,5394.2
74,1874,12,3,1944.84,5834.5199999999995
75,978,94,1,1628.53,1628.53
76,1538,25,1,1406.26,1406.26
77,2338,28,3,1102.69,3308.07
78,1321,43,3,744.78,2234.34
79,1705,77,4,1205.76,4823.04
80,2800,47,4,51.01,204.04
81,1995,49,3,644.32,1932.96
82,2071,86,3,1606.77,4820.3099999999995
83,806,54,3,575.35,1726.0500000000002
84,2220,18,3,1435.79,4307.37
85,835,27,1,1228.61,1228.61
86,2366,72,4,1286.99,5147.96
87,908,6,2,1354.24,2708.48
88,2846,75,3,923.18,2769.54
89,855,93,3,1436.74,4310.22
90,2729,69,3,851.52,2554.56
91,916,71,2,722.89,1445.78
92,843,22,4,1796.74,7186.96
93,2531,59,4,837.48,3349.92
94,132,47,3,51.01,153.03
95,1117,68,3,1954.4,5863.200000000001
96,861,32,4,1404.83,5619.32
97,294,83,2,1967.68,3935.36
98,2689,97,3,1884.02,5652.0599999999995
99,1000,1,2,1834.17,3668.34
100,2440,54,2,575.35,1150.7
101,2297,46,4,1313.0,5252.0
102,2751,41,3,682.47,2047.41
103,1261,41,1,682.47,682.47
104,287,8,4,1203.03,4812.12
105,2325,32,4,1404.83,5619.32
106,2435,30,1,1888.56,1888.56
107,450,46,3,1313.0,3939.0
108,2339,92,2,479.47,958.94
109,2491,52,2,995.42,1990.84
110,2704,96,2,237.54,475.08
111,1208,89,3,1406.83,4220.49
112,1779,98,4,825.27,3301.08
113,2875,61,4,545.14,2180.56
114,1970,97,4,1884.02,7536.08
115,476,13,4,1705.38,6821.52
116,253,89,4,1406.83,5627.32
117,1420,40,1,1772.4,1772.4
118,2337,61,2,545.14,1090.28
119,1236,44,2,1818.32,3636.64
120,1000,62,3,531.41,1594.23
121,21,44,1,1818.32,1818.32
122,316,48,4,737.51,2950.04
123,2612,74,4,1085.32,4341.28
124,1462,59,4,837.48,3349.92
125,1447,57,1,476.59,476.59
126,1257,95,3,729.9,2189.7
127,2171,11,1,796.71,796.71
128,2922,25,3,1406.26,4218.78
129,960,61,2,545.14,1090.28
130,2262,46,3,1313.0,3939.0
131,1946,54,2,575.35,1150.7
132,839,34,3,1267.49,3802.4700000000003
133,2695,84,2,827.71,1655.42
134,968,7,2,1348.55,2697.1
135,1854,97,4,1884.02,7536.08
136,2778,62,3,531.41,1594.23
137,600,57,4,476.59,1906.36
138,792,99,2,1059.62,2119.24
139,40,93,4,1436.74,5746.96
140,2800,76,1,1128.14,1128.14
141,2991,5,4,773.1,3092.4
142,648,76,3,1128.14,3384.42
143,182,93,4,1436.74,5746.96
144,265,35,1,626.49,626.49
145,2819,84,4,827.71,3310.84
146,863,37,2,940.24,1880.48
147,432,60,2,176.54,353.08
148,1220,65,2,338.77,677.54
149,509,16,3,549.33,1647.9900000000002
150,447,30,4,1888.56,7554.24
151,528,73,2,1377.38,2754.76
152,2923,42,4,288.07,1152.28
153,1754,61,1,545.14,545.14
154,1629,74,1,1085.32,1085.32
155,1163,77,3,1205.76,3617.2799999999997
156,669,48,4,737.51,2950.04
157,847,62,1,531.41,531.41
158,2118,84,3,827.71,2483.13
159,2864,93,3,1436.74,4310.22
160,1771,64,2,1438.93,2877.86
161,1826,57,1,476.59,476.59
162,446,68,4,1954.4,7817.6
163,1026,46,1,1313.0,1313.0
164,1772,28,1,1102.69,1102.69
165,1360,77,4,1205.76,4823.04
166,19,3,4,926.43,3705.72
167,2018,37,2,940.24,1880.48
168,561,48,3,737.51,2212.5299999999997
169,472,19,4,266.24,1064.96
170,28,92,4,479.47,1917.88
171,560,83,1,1967.68,1967.68
172,2656,17,4,128.85,515.4
173,458,82,4,967.09,3868.36
174,945,82,1,967.09,967.09
175,1200,87,1,343.9,343.9
176,984,40,1,1772.4,1772.4
177,868,50,2,371.08,742.16
178,2077,73,3,1377.38,4132.14
179,1980,29,4,445.97,1783.88
180,2717,51,1,1091.47,1091.47
181,826,42,1,288.07,288.07
182,816,29,3,445.97,1337.91
183,2327,66,2,1995.59,3991.18
184,2331,17,4,128.85,515.4
185,1003,31,2,1217.79,2435.58
186,1543,92,2,479.47,958.94
187,2353,52,2,995.42,1990.84
188,2742,39,1,862.19,862.19
189,109,60,3,176.54,529.62
190,2372,94,3,1628.53,4885.59
191,1230,99,3,1059.62,3178.8599999999997
192,1962,51,2,1091.47,2182.94
193,2506,84,4,827.71,3310.84
194,1964,16,2,549.33,1098.66
195,2530,98,3,825.27,2475.81
196,922,14,1,1457.37,1457.37
197,1431,90,2,1723.8,3447.6
198,1533,84,1,827.71,827.71
199,1893,42,3,288.07,864.21
200,2568,51,2,1091.47,2182.94
201,1422,24,1,1148.39,1148.39
202,1223,82,2,967.09,1934.18
203,391,43,3,744.78,2234.34
204,1673,73,4,1377.38,5509.52
205,2819,19,3,266.24,798.72
206,1870,84,4,827.71,3310.84
207,2961,61,4,545.14,2180.56
208,1522,94,3,1628.53,4885.59
209,1196,63,1,1407.79,1407.79
210,2134,26,2,321.7,643.4
211,2606,95,2,729.9,1459.8
212,858,35,2,626.49,1252.98
213,1210,67,4,570.22,2280.88
214,1517,56,4,378.17,1512.68
215,1651,40,3,1772.4,5317.200000000001
216,2714,29,1,445.97,445.97
217,1154,6,3,1354.24,4062.7200000000003
218,843,52,3,995.42,2986.2599999999998
219,1105,1,1,1834.17,1834.17
220,1826,52,4,995.42,3981.68
221,1683,24,3,1148.39,3445.17
222,295,34,3,1267.49,3802.4700000000003
223,2002,7,4,1348.55,5394.2
224,2317,75,2,923.18,1846.36
225,645,11,1,796.71,796.71
226,2583,36,1,255.71,255.71
227,2136,20,2,906.71,1813.42
228,925,63,1,1407.79,1407.79
229,1648,80,2,522.21,1044.42
230,111,63,3,1407.79,4223.37
231,584,69,1,851.52,851.52
232,1487,88,1,1040.99,1040.99
233,769,30,3,1888.56,5665.68
234,1180,30,4,1888.56,7554.24
235,1649,97,4,1884.02,7536.08
236,2286,84,3,827.71,2483.13
237,2382,22,1,1796.74,1796.74
238,106,61,1,545.14,545.14
239,1723,21,1,443.35,443.35
240,1695,37,2,940.24,1880.48
241,1734,27,4,1228.61,4914.44
242,382,35,1,626.49,626.49
243,2737,38,4,475.96,1903.84
244,261,60,4,176.54,706.16
245,1823,70,1,114.45,114.45
246,1317,32,3,1404.83,4214.49
247,1359,80,3,522.21,1566.63
248,2703,92,4,479.47,1917.88
249,820,80,2,522.21,1044.42
250,709,27,4,1228.61,4914.44
251,2524,3,4,926.43,3705.72
252,907,49,3,644.32,1932.96
253,2603,85,1,1642.04,1642.04
254,663,30,1,1888.56,1888.56
255,1320,22,2,1796.74,3593.48
256,2623,19,3,266.24,798.72
257,2690,31,3,1217.79,3653.37
258,463,20,4,906.71,3626.84
259,2903,19,3,266.24,798.72
260,585,2,4,1707.58,6830.32
261,943,40,2,1772.4,3544.8
262,2664,39,3,862.19,2586.57
263,158,91,3,685.62,2056.86
264,2320,72,4,1286.99,5147.96
265,1851,54,3,575.35,1726.0500000000002
266,1327,27,1,1228.61,1228.61
267,2718,79,2,770.83,1541.66
268,2669,12,1,1944.84,1944.84
269,2569,78,4,207.66,830.64
270,2107,71,4,722.89,2891.56
271,1382,17,4,128.85,515.4
272,704,90,2,1723.8,3447.6
273,648,84,3,827.71,2483.13
274,2939,10,1,1144.42,1144.42
275,2484,19,3,266.24,798.72
276,146,82,4,967.09,3868.36
277,2907,30,3,1888.56,5665.68
278,1376,30,2,1888.56,3777.12
279,1824,25,4,1406.26,5625.04
280,245,88,3,1040.99,3122.9700000000003
281,1584,74,1,1085.32,1085.32
282,2349,66,4,1995.59,7982.36
283,2486,96,4,237.54,950.16
284,868,35,2,626.49,1252.98
285,2148,51,2,1091.47,2182.94
286,2773,71,1,722.89,722.89
287,2862,71,3,722.89,2168.67
288,480,27,3,1228.61,3685.83
